DCA License Number,Business Name,Business Name 2,Industry,Event Type,Event Date,Status
1459248-DCA,KEVIN TRAVEL INC.,,Sightseeing Bus,Surrendered,4/3/2015,Inactive
1472493-DCA,PLATINUM 1 AUTO SALES CORP,,Secondhand Dealer - Auto,Suspended,4/3/2015,Inactive
2007136-1531-DCA,EM AND DELI GROCERY INC.,,Tobacco Retail Dealer,Reinstated,4/3/2015,Inactive
1326859-DCA,LORD OF KINGS  INC,,Tobacco Retail Dealer,Reinstated,4/4/2015,Active
1372429-DCA,BRONXWOOD EXPRESS DELI GROCERY CORP,,Tobacco Retail Dealer,Suspended,4/6/2015,Inactive
1389807-DCA,"REKHA, MOSSAMAT K & BEGUM, HOSNA A",NOVELTY & GROCERY HALAL MEAT,Stoop Line Stand,Suspended,4/6/2015,Inactive
2005715-1327-DCA,YEYA GROCERY CORP.,,Tobacco Retail Dealer,Surrendered,4/6/2015,Inactive
2017337-DCA,"BRIGHTON FRUIT MARKET, INC",,Stoop Line Stand,Suspended,4/6/2015,Active
0893673-DCA,MFR CUSTOM COLLISION INC.,,Secondhand Dealer - General,Surrendered,4/7/2015,Inactive
1267883-DCA,"NORTH BRONX PHONES, INC.",,Electronics Store,Surrendered,4/7/2015,Inactive
1389807-DCA,"REKHA, MOSSAMAT K & BEGUM, HOSNA A",NOVELTY & GROCERY HALAL MEAT,Stoop Line Stand,Reinstated,4/7/2015,Inactive
1437437-DCA,ALTAGRACIA GROCERY CORP.,,Tobacco Retail Dealer,Revoked,4/7/2015,Inactive
1448876-DCA,C & J DELI GROCERY CORP.,,Stoop Line Stand,Revoked,4/7/2015,Inactive
1469726-DCA,HOLLIS WOODS DELI CORP,,Tobacco Retail Dealer,Revoked,4/7/2015,Inactive
1470324-DCA,BRONX TITANIC HABIBI GROCERY INC.,,Tobacco Retail Dealer,Suspended,4/7/2015,Inactive
2001060-295-DCA,HILLSIDE # 1 DELI  CORP,,Tobacco Retail Dealer,Suspended,4/7/2015,Inactive
2001812-DCA,SPEEDY DRY CLEANERS INC,,Laundry Jobber,Surrendered,4/7/2015,Inactive
2012416-DCA,TRANSWORLD SYSTEMS INC.,,Debt Collection Agency,Surrendered,4/7/2015,Inactive
2013905-1-DCA,"SMG DELI & GROCERY, CORP",,Tobacco Retail Dealer,Surrendered,4/7/2015,Inactive
2017337-DCA,"BRIGHTON FRUIT MARKET, INC",,Stoop Line Stand,Reinstated,4/7/2015,Active
0933554-DCA,SKYLINER TRAVEL & TOUR BUS CORP.,,Sightseeing Bus,Surrendered,4/8/2015,Inactive
1122200-DCA,"LIDO, GONZALEZ",D S GROCERY,Tobacco Retail Dealer,Reinstated,4/8/2015,Inactive
1302492-DCA,DOLLAR & UP FRUIT AND VEGETABLE CORP.,,Stoop Line Stand,Surrendered,4/8/2015,Inactive
1459997-DCA,THE PAISA JEWELRY CSP CORP,,Pawnbroker,Surrendered,4/8/2015,Inactive
2003087-DCA,98 KENMARE RESTAURANT GROUP LLC,MAISON O,Sidewalk Cafe,Surrendered,4/8/2015,Inactive
2010597-1-DCA,MSZ SUPERMARKET INC,,Tobacco Retail Dealer,Surrendered,4/8/2015,Inactive
2012538-DCA,"LAPIZZA SHOP, INC.",,Sidewalk Cafe,Surrendered,4/8/2015,Inactive
2013015-1-DCA,SUNSET PARK DELI & GROCERY,,Tobacco Retail Dealer,Surrendered,4/8/2015,Inactive
1441151-DCA,NEW & USED DISCOUNT GLASS SHOP LTD,,Secondhand Dealer - General,Reinstated,4/9/2015,Inactive
1460949-DCA,"RAFY'S HOME APPLIANCES, CORP",,Secondhand Dealer - General,Surrendered,4/9/2015,Inactive
1465712-DCA,"MAC CONTRACTING OF SI, INC.",,Home Improvement Contractor,Revoked,4/9/2015,Inactive
2010089-DCA,MP TAX SERVICES CORP,PITASO AUTO SALE,Secondhand Dealer - Auto,Surrendered,4/9/2015,Inactive
2002937-DCA,SP PLUS CORPORATION,,Garage,Suspended,4/9/2015,Inactive
0914303-DCA,"BOSCAINO AUTO COLLISION, LTD.",SPEEDWAY AUTO CENTER,Tow Truck Company,Revoked,4/10/2015,Inactive
1142288-DCA,OLD HEIDELBERG CORP.,,Sidewalk Cafe,Reinstated,4/10/2015,Active
1234191-DCA,"UDDIN, MOHAMMED",THREE STAR CONSTRUCTION,Home Improvement Contractor,Surrendered,4/10/2015,Inactive
1237770-DCA,"CAPABLE CAR PARK, LLC",,Garage,Suspended,4/10/2015,Inactive
1256791-DCA,"ALHAJ, SALEEM A",S & A GROCERY & CANDY,Tobacco Retail Dealer,Revoked,4/10/2015,Inactive
1324855-DCA,282 AMERICAN DELI CORP.,,Tobacco Retail Dealer,Reinstated,4/10/2015,Active
1333370-DCA,"L-MO'S MARKET, INC.",,Tobacco Retail Dealer,Suspended,4/10/2015,Active
1364003-DCA,EASTERN PKWY FOOD CORP.,,Tobacco Retail Dealer,Revoked,4/10/2015,Inactive
1372429-DCA,BRONXWOOD EXPRESS DELI GROCERY CORP,,Tobacco Retail Dealer,Reinstated,4/10/2015,Inactive
1416991-DCA,LENOX EXPRESS DELI CORP.,,Tobacco Retail Dealer,Reinstated,4/10/2015,Inactive
1469726-DCA,HOLLIS WOODS DELI CORP,,Tobacco Retail Dealer,Surrendered,4/10/2015,Inactive
1470773-DCA,DEWAN MOTORS LLC,,Secondhand Dealer - Auto,Suspended,4/10/2015,Inactive
1471267-DCA,CUSTOM TOWING INC.,,Tow Truck Company,Reinstated,4/10/2015,Inactive
2002937-DCA,SP PLUS CORPORATION,,Garage,Reinstated,4/10/2015,Inactive
0914303-DCA,"BOSCAINO AUTO COLLISION, LTD.",SPEEDWAY AUTO CENTER,Tow Truck Company,Reinstated,4/11/2015,Inactive
1468924-DCA,FORDHAM CONVENIENCE & GROCERY MART INC.,,Tobacco Retail Dealer,Reinstated,4/13/2015,Active
2013578-DCA,COUNTRY BOY FARM MARKET CORP.,,Stoop Line Stand,Reinstated,4/13/2015,Inactive
1381056-DCA,,,Home Improvement Salesperson,Surrendered,4/13/2015,Inactive
1138115-DCA,"HOMEY SUPERMARKET, INC.",,Stoop Line Stand,Reinstated,4/14/2015,Inactive
1293238-DCA,F&M MINI MART FOOD CORP.,,Tobacco Retail Dealer,Reinstated,4/15/2015,Inactive
1186112-DCA,GATESTONE & CO. INTERNATIONAL INC.,,Debt Collection Agency,Surrendered,4/16/2015,Inactive
1386338-DCA,TOWN DELI INC.,,Tobacco Retail Dealer,Revoked,4/16/2015,Inactive
1473262-DCA,UNIQUE MOTORS INC.,,Secondhand Dealer - Auto,Surrendered,4/16/2015,Inactive
1474967-DCA,VELDOS LLC,,Debt Collection Agency,Surrendered,4/16/2015,Inactive
2001499-DCA,VELDOS LLC,,Debt Collection Agency,Surrendered,4/16/2015,Inactive
2013995-DCA,CONSOLIDATED MANAGEMENT GROUP LLC,,Debt Collection Agency,Surrendered,4/16/2015,Inactive
0913207-DCA,,,Locksmith,Surrendered,4/16/2015,Inactive
0832966-DCA,"DART TOWING, INC.",,Tow Truck Company,Reinstated,4/17/2015,Active
1041927-DCA,"LEONG SHUN, CORP.",,Tobacco Retail Dealer,Surrendered,4/17/2015,Inactive
1388592-DCA,"ARP NEWS, INC.",,Tobacco Retail Dealer,Reinstated,4/17/2015,Inactive
1418723-DCA,"MEJIA, NELSON RAMON",MAGIC TOUCH AUTO GLASS SOUND & SECURITY CENTER,Electronics Store,Reinstated,4/17/2015,Inactive
1448876-DCA,C & J DELI GROCERY CORP.,,Stoop Line Stand,Reinstated,4/17/2015,Inactive
1158751-DCA,"RED MULBERRY, LTD.",SAMBUCA'S,Sidewalk Cafe,Suspended,4/18/2015,Inactive
1158751-DCA,"RED MULBERRY, LTD.",SAMBUCA'S,Sidewalk Cafe,Reinstated,4/21/2015,Inactive
1253845-DCA,"RAYIRA GROCERY DELI, CORP.",,Tobacco Retail Dealer,Revoked,4/21/2015,Inactive
1466924-DCA,CHAMPION CONTRACTING NY CORP.,,Home Improvement Contractor,Revoked,4/21/2015,Inactive
2008312-DCA,PPF HOLDINGS LLC,MCCOY,Sidewalk Cafe,Surrendered,4/21/2015,Inactive
2016909-1-DCA,BLESSING CONVENIENT STORE INC,,Tobacco Retail Dealer,Suspended,4/21/2015,Inactive
1470773-DCA,DEWAN MOTORS LLC,,Secondhand Dealer - Auto,Reinstated,4/22/2015,Inactive
2016909-1-DCA,BLESSING CONVENIENT STORE INC,,Tobacco Retail Dealer,Reinstated,4/22/2015,Inactive
1349681-DCA,UNLIMITED DISCOUNT MARKET CORP.,,Tobacco Retail Dealer,Revoked,4/23/2015,Inactive
1419819-DCA,"KHALID, AZEEM",NAZ STATIONERY AND NEWS STAND,Tobacco Retail Dealer,Reinstated,4/23/2015,Inactive
2002418-617-DCA,NEW LOTS DELI INC,,Tobacco Retail Dealer,Revoked,4/23/2015,Inactive
2014073-DCA,"GUAMAN, ROSA YOLANDA",YOLANDA'S CLEANERS,Laundry Jobber,Surrendered,4/23/2015,Inactive
1368765-DCA,REEM'S 2 GOURMET DELI CORP.,,Tobacco Retail Dealer,Suspended,4/24/2015,Inactive
1435499-DCA,MONYAT DELI AND GROCERY INC,,Tobacco Retail Dealer,Suspended,4/24/2015,Inactive
1455973-DCA,LULU & ME LLC,,Sidewalk Cafe,Surrendered,4/24/2015,Inactive
1469922-DCA,"YL GOURMET DELI, INC.",YL GOURMET DELI,Tobacco Retail Dealer,Suspended,4/24/2015,Inactive
1474222-DCA,"SHAMALOV, GRIGORY",EA GOLD,Secondhand Dealer - General,Suspended,4/24/2015,Inactive
0865888-DCA,,,Home Improvement Salesperson,Suspended,4/24/2015,Inactive
1465712-DCA,"MAC CONTRACTING OF SI, INC.",,Home Improvement Contractor,Suspended,4/25/2015,Inactive
2002294-DCA,TAR AUTO SALES INC,BOSS AUTO PREMIER,Secondhand Dealer - Auto,Suspended,4/25/2015,Inactive
2007841-1697-DCA,FAT BOYS DELI & GROCERY INC,,Tobacco Retail Dealer,Reinstated,4/25/2015,Inactive
2019723-2-DCA,XYZ DELI GROCERY CORP.,,Tobacco Retail Dealer,Suspended,4/25/2015,Inactive
1243128-DCA,SCIENCE & PLAY ENTERTAINMENT CORP.,SIMULATOR,Amusement Device Permanent,Surrendered,4/27/2015,Inactive
1243130-DCA,SCIENCE & PLAY ENTERTAINMENT CORP.,FUN STATION USA,Amusement Device Permanent,Surrendered,4/27/2015,Inactive
1243133-DCA,SCIENCE & PLAY ENTERTAINMENT CORP.,MINI HIMALAYA,Amusement Device Permanent,Surrendered,4/27/2015,Inactive
1243135-DCA,SCIENCE & PLAY ENTERTAINMENT CORP.,BUMPER CARS,Amusement Device Permanent,Surrendered,4/27/2015,Inactive
1243137-DCA,SCIENCE & PLAY ENTERTAINMENT CORP.,THUNDER RIDE,Amusement Device Permanent,Surrendered,4/27/2015,Inactive
1243138-DCA,SCIENCE & PLAY ENTERTAINMENT CORP.,MINI TWISTER,Amusement Device Permanent,Surrendered,4/27/2015,Inactive
1306216-DCA,ATLANTIC V CORP,,Employment Agency,Surrendered,4/27/2015,Inactive
1366695-DCA,2154 3 SISTER'S GROCERY & DELI INC.,,Tobacco Retail Dealer,Revoked,4/27/2015,Inactive
1391496-DCA,FRESH CONVENIENCE CORP.,,Tobacco Retail Dealer,Revoked,4/27/2015,Inactive
1456521-DCA,"CEDENO, BRYAN",WYCKOFF WIRELESS HOME ELECTRONICS,Secondhand Dealer - General,Suspended,4/27/2015,Inactive
2014265-1-DCA,RALPH AVENUE FOOD CORP,,Tobacco Retail Dealer,Revoked,4/27/2015,Inactive
1401732-DCA,ABI'S AUTO & TOWING INC,,Tow Truck Company,Surrendered,4/28/2015,Inactive
1442211-DCA,TRI-STATE CONSTRUCTION & RENOVATION CORP.,,Home Improvement Contractor,Revoked,4/28/2015,Inactive
1458662-DCA,F&J GOURMET DELI INC,,Tobacco Retail Dealer,Suspended,4/28/2015,Inactive
2016429-1-DCA,NEW WAY DELI INC,,Tobacco Retail Dealer,Revoked,4/28/2015,Inactive
1149013-DCA,"MCKEEVER, IAN",,Horse Drawn Cab Owner,Surrendered,4/29/2015,Inactive
1303870-DCA,RAMCHAND KOWLASSAR,STAR LIGHT HOME IMPROVEMENTS INC,Home Improvement Contractor,Surrendered,4/29/2015,Inactive
1308886-DCA,"GLOBAL RECEIVABLES SOLUTIONS, INC.",,Debt Collection Agency,Surrendered,4/29/2015,Inactive
1308901-DCA,"GLOBAL RECEIVABLES SOLUTIONS, INC.",,Debt Collection Agency,Surrendered,4/29/2015,Inactive
1316143-DCA,"GLOBAL RECEIVABLES SOLUTIONS, INC.",,Debt Collection Agency,Surrendered,4/29/2015,Inactive
1381122-DCA,GOLD AND DIAMOND JEWELERS INC.,CELLULAR WORLD,Electronics Store,Reinstated,4/29/2015,Inactive
1452304-DCA,CIRCLE LINE DELI GROCERY CORP.,,Stoop Line Stand,Suspended,4/29/2015,Inactive
1465064-DCA,"KAHLON BROTHERS, INC.",,Secondhand Dealer - General,Surrendered,4/29/2015,Inactive
1465712-DCA,"MAC CONTRACTING OF SI, INC.",,Home Improvement Contractor,Reinstated,4/29/2015,Inactive
2017693-DCA,"STONELEIGH RECOVERY ASSOCIATES, LLC",,Debt Collection Agency,Surrendered,4/29/2015,Inactive
0965352-DCA,"AGENCIA DE EMPLEOS POPULAR COMPANY, INC.",,Employment Agency,Surrendered,4/30/2015,Inactive
1328277-DCA,"188TH ST. DELI & GROCERY, INC.",,Tobacco Retail Dealer,Reinstated,4/30/2015,Inactive
1383456-DCA,SHARDY LUCKY DELI INC,,Tobacco Retail Dealer,Revoked,4/30/2015,Inactive
1418758-DCA,THE GLEF LTD.,TEDDY'S BAR & GRILL,Sidewalk Cafe,Surrendered,4/30/2015,Inactive
1435499-DCA,MONYAT DELI AND GROCERY INC,,Tobacco Retail Dealer,Reinstated,4/30/2015,Inactive
1441645-DCA,EXCELL DISCOUNT AND GROCERY CORP,,Tobacco Retail Dealer,Suspended,4/30/2015,Inactive
2014146-1-DCA,JEROME AVE DELI INC.,,Tobacco Retail Dealer,Suspended,4/30/2015,Inactive
2019067-DCA,Sildu LLC,Phone Fix Wiz,Electronics Store,Surrendered,4/30/2015,Inactive
2019723-2-DCA,XYZ DELI GROCERY CORP.,,Tobacco Retail Dealer,Reinstated,4/30/2015,Inactive
1449333-DCA,,,Process Server Individual,Reinstated,4/30/2015,Inactive
1216596-DCA,"DIAZ, MICHELLE",MDV JEWELRY STORE,Secondhand Dealer - General,Surrendered,5/1/2015,Inactive
1218739-DCA,"VASQUEZ, MARIA",ARCHER ST PAWN SHOP,Pawnbroker,Surrendered,5/1/2015,Inactive
1301830-DCA,ROCBOTTOM CONSTRUCTION LLC,,Home Improvement Contractor,Revoked,5/1/2015,Inactive
1470226-DCA,"DAYLINE GOURMET DELI, INC.",,Tobacco Retail Dealer,Revoked,5/1/2015,Inactive
1165389-DCA,,,Home Improvement Salesperson,Reinstated,5/1/2015,Active
2007458-DCA,HIP HOP WIRELESS INC,,Electronic & Appliance Service,Suspended,5/3/2015,Active
0765883-DCA,"MARGARET E. PESCATORE PARKING, INC.",,Parking Lot,Surrendered,5/4/2015,Inactive
1196521-DCA,"WANG, ZHI X",SUCCESS AGENCY,Employment Agency,Surrendered,5/4/2015,Inactive
1233158-DCA,888 EMPLOYMENT AGENCY INC,,Employment Agency,Surrendered,5/4/2015,Inactive
1352923-DCA,BEWAYS JEWELRY AND GAMES CORP,,Electronic & Appliance Service,Surrendered,5/4/2015,Inactive
1352927-DCA,BEWAYS JEWELRY AND GAMES CORP,,Electronics Store,Surrendered,5/4/2015,Inactive
1352943-DCA,BEWAYS JEWELRY & GAMES CORP.,,Secondhand Dealer - General,Surrendered,5/4/2015,Inactive
1420111-DCA,DEORAM SOOKDEO,LISA'S GOLD,Secondhand Dealer - General,Surrendered,5/4/2015,Inactive
1421297-DCA,"ANGEL DEVELOPMENT, INC.",NY DYNAMIC INTERIORS,Home Improvement Contractor,Surrendered,5/4/2015,Inactive
1428068-DCA,"ACEVEDO DE LOS SANTOS, YORKIS",EL CONUCO ACEVEDO FRUITS & VEGETABLES,Stoop Line Stand,Surrendered,5/4/2015,Inactive
1459995-DCA,THE PAISA JEWELRY CSP CORP,,Secondhand Dealer - General,Surrendered,5/4/2015,Inactive
2012826-DCA,OZ LEASING CORP,SIGNATURE AUTO GROUP,Secondhand Dealer - Auto,Surrendered,5/4/2015,Inactive
2016778-1-DCA,ADEB S ALJABILI,WOODHAVEN DELI GROCERY,Tobacco Retail Dealer,Surrendered,5/4/2015,Inactive
0849471-DCA,,,Process Server Individual,Surrendered,5/4/2015,Inactive
1029263-DCA,ASAP EMPLOYMENT INC.,,Employment Agency,Surrendered,5/5/2015,Inactive
1195484-DCA,"CHAMPION PARKING 425, LLC",,Parking Lot,Surrendered,5/5/2015,Inactive
1256791-DCA,"ALHAJ, SALEEM A",S & A GROCERY & CANDY,Tobacco Retail Dealer,Reinstated,5/5/2015,Inactive
1366695-DCA,2154 3 SISTER'S GROCERY & DELI INC.,,Tobacco Retail Dealer,Surrendered,5/5/2015,Inactive
1417059-DCA,"SHABUJ GROCERY, INC.",,Tobacco Retail Dealer,Revoked,5/5/2015,Inactive
1436229-DCA,112 DELI AND GRILL INC.,,Tobacco Retail Dealer,Revoked,5/5/2015,Inactive
1463577-DCA,86TH STREET CONVENIENCE INC.,,Stoop Line Stand,Surrendered,5/5/2015,Inactive
2000950-DCA,B & D HOLDING GROUP INC.,bullfrog remodeling,Home Improvement Contractor,Revoked,5/5/2015,Inactive
2012409-DCA,TRANSWORLD SYSTEMS INC.,,Debt Collection Agency,Surrendered,5/5/2015,Inactive
2015067-DCA,"SUPER J FLAT FIX, USED CARS, INC.",,Secondhand Dealer - General,Surrendered,5/5/2015,Inactive
2013566-DCA,,,Tow Truck Driver,Surrendered,5/5/2015,Inactive
1069029-DCA,DUANE READE,,Tobacco Retail Dealer,Surrendered,5/6/2015,Inactive
1106591-DCA,DUANE READE,,Tobacco Retail Dealer,Surrendered,5/6/2015,Inactive
1209905-DCA,DUANE READE,,Tobacco Retail Dealer,Surrendered,5/6/2015,Inactive
1266356-DCA,"TRAN, TONY",TONY WATCH'S REPAIRS & SALES,Secondhand Dealer - General,Suspended,5/6/2015,Inactive
1384987-DCA,T-MOBILE NORTHEAST LLC,T-MOBILE,Electronics Store,Surrendered,5/6/2015,Inactive
1418129-DCA,CENTRAL FOOD OF NY CORP.,,Tobacco Retail Dealer,Surrendered,5/6/2015,Inactive
1421192-DCA,"SEAPOD CAPITAL GROUP, LLC",SEAPOD PAWNBROKERS,Secondhand Dealer - General,Surrendered,5/6/2015,Inactive
1440895-DCA,EL CANO DELI GROCERY CORP.,,Tobacco Retail Dealer,Surrendered,5/6/2015,Inactive
2013786-1-DCA,GRACE GROCERY INC,,Tobacco Retail Dealer,Suspended,5/7/2015,Inactive
1439690-DCA,"GOLDEN TOUCH TRANSPORTATION OF NY, INC.",,Sightseeing Bus,Surrendered,5/8/2015,Inactive
2011513-DCA,YEATS CARRIAGES INC,,Horse Drawn Cab Owner,Surrendered,5/8/2015,Active
1333370-DCA,"L-MO'S MARKET, INC.",,Tobacco Retail Dealer,Reinstated,5/9/2015,Active
1345393-DCA,"LX FOOD GROCERY, INC.",,Tobacco Retail Dealer,Suspended,5/9/2015,Inactive
1376497-DCA,MERRICK GAS SERVICES INC.,,Tobacco Retail Dealer,Suspended,5/9/2015,Inactive
1433351-DCA,FAMILY 99C PLUS INC.,,Tobacco Retail Dealer,Suspended,5/9/2015,Inactive
1455017-DCA,NICKS CUSTOM AUTOMOTIVE RESTYLING LLC,,Electronics Store,Suspended,5/9/2015,Inactive
1468920-DCA,1885 WESTCHESTER AVE PETROLEUM INC.,,Tobacco Retail Dealer,Revoked,5/9/2015,Inactive
1475115-DCA,EA GOLD LTD,,Pawnbroker,Suspended,5/9/2015,Inactive
2007782-1663-DCA,WILLIAMSBURG SMOKE SHOP CORP,,Tobacco Retail Dealer,Suspended,5/9/2015,Inactive
2008138-1755-DCA,NEIGHBORHOOD DELI 2 CORP,,Tobacco Retail Dealer,Suspended,5/9/2015,Inactive
2010095-2151-DCA,E 100 GROCERY INC,,Tobacco Retail Dealer,Suspended,5/9/2015,Inactive
2013786-1-DCA,GRACE GROCERY INC,,Tobacco Retail Dealer,Reinstated,5/9/2015,Inactive
2018074-2-DCA,MOTOWN DELI AND GROCERY CORP,,Tobacco Retail Dealer,Suspended,5/9/2015,Inactive
2018467-DCA,TOLI AUTO MART INC,,Secondhand Dealer - General,Suspended,5/9/2015,Inactive
2013317-DCA,,,Home Improvement Salesperson,Suspended,5/9/2015,Inactive
1384733-DCA,1 MI GENTE CONSTRUCTION LLC,,Home Improvement Contractor,Suspended,5/9/2015,Inactive
2018841-DCA,,,Home Improvement Salesperson,Suspended,5/9/2015,Inactive
1327233-DCA,GAMESTOP INC.,GAMESTOP #6146,Electronics Store,Suspended,5/9/2015,Active
1434449-DCA,RAISHANI DELI CORP,,Tobacco Retail Dealer,Suspended,5/10/2015,Inactive
2015023-DCA,AL DALALI EMAD H,,Pedicab Business,Surrendered,5/11/2015,Inactive
2017736-DCA,REPROS HOME IMPROVEMENT INC.,,Home Improvement Contractor,Surrendered,5/11/2015,Inactive
2017738-DCA,,,Home Improvement Salesperson,Surrendered,5/11/2015,Inactive
0908505-DCA,"OCONNOR, TIMOTHY",,Horse Drawn Cab Owner,Surrendered,5/12/2015,Inactive
1237259-DCA,"ROMANO, RAMONA",ROMANO'S CLEANERS,Laundry Jobber,Surrendered,5/12/2015,Inactive
1361236-DCA,"ALPHA ITECH, INC.",COMPUTER SERVICE,Electronic & Appliance Service,Surrendered,5/12/2015,Inactive
1341420-DCA,HEIGHT STAR S/S CORP.,,Tobacco Retail Dealer,Reinstated,5/13/2015,Active
1380073-DCA,"BEST DEAL CONSTRUCTION, INC.",,Home Improvement Contractor,Revoked,5/13/2015,Inactive
1460968-DCA,"ZOU, SHU YING",RED RAINBOW EMPLOYMENT AGENCY,Employment Agency,Surrendered,5/13/2015,Inactive
2004435-DCA,"UPTOWN GORMET, INC.",UPTOWN GOURMET DELI,Stoop Line Stand,Surrendered,5/13/2015,Inactive
2014146-1-DCA,JEROME AVE DELI INC.,,Tobacco Retail Dealer,Reinstated,5/13/2015,Inactive
1379135-DCA,ALLY AUTO BODY LLC,,Secondhand Dealer - General,Surrendered,5/14/2015,Inactive
1381392-DCA,48 N. DELI INC.,,Tobacco Retail Dealer,Suspended,5/14/2015,Inactive
1458629-DCA,BED BATH GIFT CORP.,,Secondhand Dealer - General,Suspended,5/14/2015,Inactive
1459628-DCA,SABRINA FURNITURE CORPORATION,,Secondhand Dealer - General,Surrendered,5/14/2015,Inactive
1459896-DCA,D & J 207 WIRELESS INC.,,Electronics Store,Surrendered,5/14/2015,Inactive
2006753-1465-DCA,BORGATA DELI CORP,,Tobacco Retail Dealer,Suspended,5/14/2015,Inactive
2011767-DCA,E&J COMMUNICATIONS CORP,,Electronic & Appliance Service,Surrendered,5/14/2015,Inactive
2011829-DCA,E & J COMMUNICATIONS CORP,,Secondhand Dealer - General,Surrendered,5/14/2015,Inactive
2014056-1-DCA,HOLLY DELI GROCERY INC,,Tobacco Retail Dealer,Suspended,5/14/2015,Inactive
2014529-1-DCA,top grocery and candy shop corp,,Tobacco Retail Dealer,Suspended,5/14/2015,Inactive
2014619-1-DCA,KING LEX GOURMET DELI CORP,,Tobacco Retail Dealer,Revoked,5/14/2015,Inactive
2015896-DCA,E&J COMMUNICATIONS CORP,,Electronics Store,Surrendered,5/14/2015,Inactive
0952279-DCA,SHOW BIZ PARKING LIMITED LIABILITY COMPANY,,Parking Lot,Surrendered,5/15/2015,Inactive
1341905-DCA,CHAMPION PARKING 24 LLC,,Parking Lot,Surrendered,5/15/2015,Inactive
1349113-DCA,SAM FAST GROCERY INC,,Tobacco Retail Dealer,Revoked,5/15/2015,Inactive
1381392-DCA,48 N. DELI INC.,,Tobacco Retail Dealer,Reinstated,5/15/2015,Inactive
1386356-DCA,"HUSSEIN, NABEEL M & HAFFED, ESSAM M",GLEN GRILL DELI GROCERY,Tobacco Retail Dealer,Revoked,5/15/2015,Inactive
1392090-DCA,IXHEL CORPORATION,CAFE FRIDA,Sidewalk Cafe,Suspended,5/15/2015,Active
2003121-DCA,SP KITCHEN AND REMODELING INC,,Home Improvement Contractor,Revoked,5/15/2015,Inactive
2007782-1663-DCA,WILLIAMSBURG SMOKE SHOP CORP,,Tobacco Retail Dealer,Reinstated,5/15/2015,Inactive
1326602-DCA,,,Process Server Individual,Suspended,5/15/2015,Active
1464964-DCA,,,Home Improvement Salesperson,Revoked,5/15/2015,Inactive
1392090-DCA,IXHEL CORPORATION,CAFE FRIDA,Sidewalk Cafe,Reinstated,5/16/2015,Active
1450961-DCA,ABC CONSTRUCTION SERVICES CORP.,,Home Improvement Contractor,Revoked,5/16/2015,Inactive
1182460-DCA,"CHEN, YUE YING",MOONLIGHT EMPLOYMENT AGENCY,Employment Agency,Surrendered,5/18/2015,Inactive
1381146-DCA,BLT BURGER 2ND AVENUE NYC LLC,GO BURGER,Sidewalk Cafe,Surrendered,5/18/2015,Inactive
1419545-DCA,ALLERTON GROCERY AND CANDY STORE CORP,,Tobacco Retail Dealer,Revoked,5/18/2015,Inactive
1467944-DCA,B.P.&L. BROTHERS TIRE SHOP CORP.,,Secondhand Dealer - General,Surrendered,5/18/2015,Inactive
1431098-DCA,,,Process Server Individual,Revoked,5/18/2015,Inactive
1280507-DCA,"WI SERVICES, INC.",,Home Improvement Contractor,Surrendered,5/19/2015,Inactive
1311334-DCA,"RICCOBONO, SAM",SAM RICCOBONO CO.,Secondhand Dealer - General,Surrendered,5/19/2015,Inactive
1468182-DCA,108 STREET GROCERY CORP.,,Tobacco Retail Dealer,Reinstated,5/19/2015,Inactive
2007458-DCA,HIP HOP WIRELESS INC,,Electronic & Appliance Service,Reinstated,5/19/2015,Active
2014056-1-DCA,HOLLY DELI GROCERY INC,,Tobacco Retail Dealer,Reinstated,5/19/2015,Inactive
1237770-DCA,"CAPABLE CAR PARK, LLC",,Garage,Reinstated,5/20/2015,Inactive
1329738-DCA,"LSK EXECUTIVE RECRUITMENT, LLC",CITY HOME COMPANION,Employment Agency,Surrendered,5/20/2015,Inactive
1369962-DCA,LEGION X INC.,,Tow Truck Company,Reinstated,5/20/2015,Active
1451257-DCA,RITEWAY TOWING INC.,,Tow Truck Company,Revoked,5/20/2015,Inactive
1468142-DCA,HUNTS POINT GOURMET INC,,Tobacco Retail Dealer,Revoked,5/20/2015,Inactive
2007333-1567-DCA,REAL WORLD DELI CORP,,Tobacco Retail Dealer,Surrendered,5/20/2015,Inactive
1431098-DCA,,,Process Server Individual,Reinstated,5/20/2015,Inactive
1360683-DCA,,,Tow Truck Driver,Revoked,5/20/2015,Inactive
1360988-DCA,,,Tow Truck Driver,Revoked,5/20/2015,Inactive
1333124-DCA,3706 ROYAL MARKET INC.,,Tobacco Retail Dealer,Revoked,5/21/2015,Inactive
1037600-DCA,"FOWLER ROUTE CO., INC.",,Laundry,Surrendered,5/22/2015,Inactive
1256120-DCA,"DELUXE AWNING CO., INC.",,Home Improvement Contractor,Surrendered,5/22/2015,Inactive
1318687-DCA,Y & H DELI & GROCERY CORP.,,Tobacco Retail Dealer,Revoked,5/22/2015,Inactive
1428135-DCA,"FAMILY DOLLAR STORES OF NEW YORK, INC.",FAMILY DOLLAR #3912,Tobacco Retail Dealer,Revoked,5/22/2015,Inactive
2017913-DCA,SP PLUS CORPORATION,,Garage and Parking Lot,Surrendered,5/22/2015,Inactive
1260999-DCA,"GUERRERO, ANGEL",A & G DRY CLEANERS,Laundry Jobber,Suspended,5/23/2015,Inactive
